time	session	index	type_	stimulus	class_	response	correct	rt	reward	punish	data_file
2018-05-11 11:43:21.543028	1	0	normal	/home/bird/opdat/B1041/stimuli/MF_1_16.wav	R	none			False	False	/Users/annie1/Downloads/behav-analysis-python3_tim/Sample Behave Data/B1041/B1041_trialdata_20180511114230.csv
2018-05-11 11:57:38.291252	1	1	normal	/home/bird/opdat/B1041/stimuli/S2_1024_14.wav	R	none			False	False	/Users/annie1/Downloads/behav-analysis-python3_tim/Sample Behave Data/B1041/B1041_trialdata_20180511114230.csv
2018-05-11 12:01:44.169591	1	2	normal	/home/bird/opdat/B1041/stimuli/F2_1024_1.wav	L	none			False	False	/Users/annie1/Downloads/behav-analysis-python3_tim/Sample Behave Data/B1041/B1041_trialdata_20180511114230.csv
2018-05-11 12:08:39.600018	1	3	normal	/home/bird/opdat/B1041/stimuli/O1_1_1.wav	L	none			False	False	/Users/annie1/Downloads/behav-analysis-python3_tim/Sample Behave Data/B1041/B1041_trialdata_20180511114230.csv
2018-05-11 12:43:21.818896	1	4	normal	/home/bird/opdat/B1041/stimuli/MF_1024_7.wav	L	none			False	False	/Users/annie1/Downloads/behav-analysis-python3_tim/Sample Behave Data/B1041/B1041_trialdata_20180511114230.csv
2018-05-11 13:53:15.285845	1	5	normal	/home/bird/opdat/B1041/stimuli/L1_1_13.wav	R	none			False	False	/Users/annie1/Downloads/behav-analysis-python3_tim/Sample Behave Data/B1041/B1041_trialdata_20180511114230.csv
2018-05-12 10:19:34.891365	1	7	normal	/home/bird/opdat/B1041/stimuli/OM_1024_19.wav	L	none			False	False	/Users/annie1/Downloads/behav-analysis-python3_tim/Sample Behave Data/B1041/B1041_trialdata_20180511114230.csv
2018-05-13 09:11:34.352409	1	9	normal	/home/bird/opdat/B1041/stimuli/L1_1024_3.wav	L	none			False	False	/Users/annie1/Downloads/behav-analysis-python3_tim/Sample Behave Data/B1041/B1041_trialdata_20180511114230.csv
2018-05-13 12:02:06.646041	1	10	normal	/home/bird/opdat/B1041/stimuli/OM_1024_4.wav	L	none			False	False	/Users/annie1/Downloads/behav-analysis-python3_tim/Sample Behave Data/B1041/B1041_trialdata_20180511114230.csv
2018-05-14 17:58:00.696631	1	12	normal	/home/bird/opdat/B1041/stimuli/O2_1_20.wav	R	none			False	False	/Users/annie1/Downloads/behav-analysis-python3_tim/Sample Behave Data/B1041/B1041_trialdata_20180511114230.csv
2018-05-18 10:03:37.253110	1	17	normal	/home/bird/opdat/B1041/stimuli/F1_1024_8.wav	R	none			False	False	/Users/annie1/Downloads/behav-analysis-python3_tim/Sample Behave Data/B1041/B1041_trialdata_20180511114230.csv
2018-05-24 09:32:47.111783	1	24	normal	/home/bird/opdat/B1041/stimuli/L1_1024_20.wav	L	none			False	False	/Users/annie1/Downloads/behav-analysis-python3_tim/Sample Behave Data/B1041/B1041_trialdata_20180511114230.csv
